batch_id,production_date,product_code,shift,operator_id,inspection_id,inspection_date,inspector_id,quality_score,defect_type,defect_severity,defect_count,rework_required,comments,factory_location,defects_per_batch,inspection_month
J8123-20240522,2024-05-22,PRD-04,night,OP-4178,INSP-0034,2024-05-23T00:45:37,INS-0342,66.5,mislabel,3.0,4,True,"Mislabel found, rework required.",Factory-Y7,4.0,2024-05
K9134-20240523,2024-05-23,PRD-02,morning,OP-5691,INSP-0035,2024-05-23T08:31:46,INS-9052,91.7,,,0,False,No deviations detected.,Factory-G9,0.0,2024-05
L5812-20240524,2024-05-24,PRD-01,afternoon,OP-0112,INSP-0036,2024-05-24T14:10:09,INS-2178,74.9,scratch,2.0,2,False,"Minor scratch detected, no rework needed.",Factory-A2,2.0,2024-05
M6718-20240525,2024-05-25,PRD-03,night,OP-2517,INSP-0037,2024-05-26T01:16:27,INS-0342,55.2,cracking,3.0,5,True,Cracking observed. Batch flagged for rework.,Factory-Z3,5.0,2024-05
N1829-20240526,2024-05-26,PRD-04,morning,OP-5691,INSP-0038,2024-05-26T10:06:53,INS-2231,98.7,,,0,False,Batch meets all standards.,Factory-Y7,0.0,2024-05
O3992-20240527,2024-05-27,PRD-01,afternoon,OP-0001,INSP-0039,2024-05-27T15:35:11,INS-9052,76.1,discoloration,2.0,2,False,Discoloration within acceptable range.,Factory-G9,2.0,2024-05
P4728-20240528,2024-05-28,PRD-02,night,OP-3452,INSP-0040,2024-05-29T02:55:43,INS-0342,45.8,misalignment,4.0,10,True,"Misalignment detected, batch failed.",Factory-X0,10.0,2024-05
Q3291-20240529,2024-05-29,PRD-03,morning,OP-4178,INSP-0041,2024-05-29T08:30:17,INS-5961,100.0,,,0,False,Batch scored 100. No defects.,Factory-A2,0.0,2024-05
R8092-20240530,2024-05-30,PRD-01,afternoon,OP-2186,INSP-0042,2024-05-30T16:01:33,INS-9052,73.2,marking,2.0,2,False,"Marking found, no functional impact.",Factory-Z3,2.0,2024-05
S4923-20240531,2024-05-31,PRD-02,night,OP-0033,INSP-0043,2024-06-01T00:57:28,INS-0342,40.2,cracking,4.0,16,True,Significant cracking. Batch must be reworked.,Factory-X0,16.0,2024-06
T1809-20240515,2024-05-15,PRD-04,morning,OP-5691,INSP-0044,2024-05-15T10:18:09,INS-2231,99.2,,,0,False,Batch meets all benchmarks.,Factory-Y7,0.0,2024-05
U1203-20240101,2024-01-01,PRD-01,afternoon,OP-0001,INSP-0045,2024-01-01T14:29:15,INS-9052,100.0,,,0,False,First batch of the year. No issues.,Factory-G9,0.0,2024-01
V3812-20230228,2023-02-28,PRD-02,night,OP-2186,INSP-0046,2023-03-01T01:18:49,INS-0342,0.0,major_crack,4.0,20,True,Old batch. Catastrophic failure.,Factory-E1,20.0,2023-03
W7281-20240503,2024-05-03,PRD-03,morning,OP-2517,INSP-0047,2024-05-03T08:46:22,INS-9052,99.6,,,0,False,Outstanding batch.,Factory-X0,0.0,2024-05
X2019-20240504,2024-05-04,PRD-04,afternoon,OP-0033,INSP-0048,2024-05-04T14:31:01,INS-2178,83.0,,,0,False,No defects detected.,Factory-Y7,0.0,2024-05
Y8129-20240505,2024-05-05,PRD-01,night,OP-4178,INSP-0049,2024-05-06T00:10:04,INS-0342,58.6,contamination,3.0,5,True,"Contamination identified, batch failed.",Factory-Z3,5.0,2024-05
Z6213-20240506,2024-05-06,PRD-02,afternoon,OP-5691,INSP-0050,2024-05-06T15:20:38,INS-9052,89.9,,,0,False,Batch meets all standards.,Factory-A2,0.0,2024-05
A1201-20240601,2024-06-01,PRD-01,morning,OP-0033,INSP-20001,2024-06-01T09:23:00,INS-1001,99.5,,,0,False,Batch exceeded quality benchmarks. No issues detected.,Factory-E1,0.0,2024-06
B2085-20240601,2024-06-01,PRD-02,afternoon,OP-2186,INSP-20002,2024-06-01T15:34:00,INS-1002,83.7,scratch,1.0,1,False,"Minor scratch noted, within tolerance levels.",Factory-A2,1.0,2024-06
C3167-20240601,2024-06-01,PRD-03,night,OP-5691,INSP-20003,2024-06-02T00:45:00,INS-1003,67.4,misalignment,3.0,5,True,Batch failed due to misalignment. Requires rework.,Factory-Z3,5.0,2024-06
D4226-20240601,2024-06-01,PRD-04,morning,OP-0112,INSP-20004,2024-06-01T10:12:00,INS-1004,97.2,,,0,False,No defects found. Batch meets all specifications.,Factory-Y7,0.0,2024-06
E5016-20240602,2024-06-02,PRD-01,afternoon,OP-0033,INSP-20005,2024-06-02T14:19:00,INS-1001,89.1,,,0,False,Batch inspected with no issues detected.,Factory-E1,0.0,2024-06
F6983-20240602,2024-06-02,PRD-02,night,OP-2517,INSP-20006,2024-06-03T01:03:00,INS-1005,49.8,contamination,4.0,8,True,High contamination detected. Full rework required.,Factory-X0,8.0,2024-06
G8092-20240602,2024-06-02,PRD-03,morning,OP-4178,INSP-20007,2024-06-02T08:55:00,INS-1006,100.0,,,0,False,Perfect batch. No issues found.,Factory-G9,0.0,2024-06
H9021-20240603,2024-06-03,PRD-04,afternoon,OP-0001,INSP-20008,2024-06-03T16:10:00,INS-1002,79.4,marking,2.0,2,False,Spot marking observed; batch still passes inspection.,Factory-A2,2.0,2024-06
I1023-20240603,2024-06-03,PRD-01,night,OP-5691,INSP-20009,2024-06-04T01:44:00,INS-1007,61.2,cracking,3.0,4,True,Cracking detected; batch failed and requires rework.,Factory-Z3,4.0,2024-06
J2039-20240603,2024-06-03,PRD-02,morning,OP-1674,INSP-20010,2024-06-03T11:27:00,INS-1004,98.8,,,0,False,Inspection passed with no issues.,Factory-E1,0.0,2024-06
K3047-20240604,2024-06-04,PRD-03,afternoon,OP-0033,INSP-20011,2024-06-04T15:48:00,INS-1002,77.9,dent,1.0,2,False,"Minor dent observed, within acceptable range.",Factory-Y7,2.0,2024-06
L4092-20240604,2024-06-04,PRD-04,night,OP-4178,INSP-20012,2024-06-05T02:09:00,INS-1008,40.7,mislabel,4.0,10,True,Mislabel detected; batch failed and requires rework.,Factory-G9,10.0,2024-06
M5001-20240604,2024-06-04,PRD-01,morning,OP-2517,INSP-20013,2024-06-04T08:31:00,INS-1009,92.3,,,0,False,Batch meets all production standards.,Factory-E1,0.0,2024-06
N6017-20240605,2024-06-05,PRD-02,afternoon,OP-0033,INSP-20014,2024-06-05T16:51:00,INS-1003,80.5,discoloration,2.0,2,False,Minor discoloration within tolerance. Batch passes.,Factory-A2,2.0,2024-06
O7023-20240605,2024-06-05,PRD-03,night,OP-5691,INSP-20015,2024-06-06T00:14:00,INS-1005,65.1,misalignment,3.0,6,True,Batch failed due to misalignment issues. Rework required.,Factory-Z3,6.0,2024-06
P8039-20240605,2024-06-05,PRD-04,morning,OP-7777,INSP-20016,2024-06-05T09:14:00,INS-1006,99.8,,,0,False,No issues detected during inspection.,Factory-Y7,0.0,2024-06
Q9048-20240606,2024-06-06,PRD-01,afternoon,OP-0112,INSP-20017,2024-06-06T14:55:00,INS-1001,76.3,marking,1.0,2,False,"Spot marking observed, batch still passes inspection.",Factory-E1,2.0,2024-06
R1002-20240606,2024-06-06,PRD-02,night,OP-2517,INSP-20018,2024-06-07T01:12:00,INS-1002,55.2,contamination,4.0,7,True,Batch failed due to contamination. Requires full rework.,Factory-X0,7.0,2024-06
S2098-20240606,2024-06-06,PRD-03,morning,OP-4178,INSP-20019,2024-06-06T10:44:00,INS-1004,96.1,,,0,False,Batch inspected. No defects found.,Factory-G9,0.0,2024-06
T3201-20240607,2024-06-07,PRD-04,afternoon,OP-0033,INSP-20020,2024-06-07T16:02:00,INS-1005,72.5,foreign_object,2.0,2,False,Foreign object detected but within tolerance.,Factory-A2,2.0,2024-06
U4016-20240607,2024-06-07,PRD-01,night,OP-5691,INSP-20021,2024-06-08T00:29:00,INS-1006,8.2,major_crack,4.0,19,True,Complete failure. Batch must be discarded.,Factory-Z3,19.0,2024-06
V5092-20240607,2024-06-07,PRD-02,morning,OP-0001,INSP-20022,2024-06-07T09:07:00,INS-1007,95.7,,,0,False,Batch meets all specifications. No defects.,Factory-E1,0.0,2024-06
W6091-20240608,2024-06-08,PRD-03,afternoon,OP-0033,INSP-20023,2024-06-08T15:29:00,INS-1008,78.4,dent,1.0,1,False,"Minor dent detected, batch passes inspection.",Factory-Y7,1.0,2024-06
X7028-20240608,2024-06-08,PRD-04,night,OP-4178,INSP-20024,2024-06-09T02:55:00,INS-1009,41.5,cracking,4.0,12,True,Cracking detected. Batch failed and requires rework.,Factory-G9,12.0,2024-06
Y8096-20240608,2024-06-08,PRD-01,morning,OP-2517,INSP-20025,2024-06-08T11:46:00,INS-1001,100.0,,,0,False,Batch is flawless. No issues detected.,Factory-E1,0.0,2024-06
Z9042-20240609,2024-06-09,PRD-02,afternoon,OP-0033,INSP-20026,2024-06-09T16:44:00,INS-1002,77.3,scratch,1.0,1,False,"Minor scratch detected, within tolerance.",Factory-A2,1.0,2024-06
A1029-20240609,2024-06-09,PRD-03,night,OP-5691,INSP-20027,2024-06-10T00:58:00,INS-1003,62.6,cracking,3.0,5,True,Cracking present. Batch failed and needs rework.,Factory-Z3,5.0,2024-06
B2018-20240609,2024-06-09,PRD-04,morning,OP-0112,INSP-20028,2024-06-09T08:18:00,INS-1004,95.8,,,0,False,Inspection passed; no defects found.,Factory-Y7,0.0,2024-06
C3024-20240610,2024-06-10,PRD-01,afternoon,OP-7777,INSP-20029,2024-06-10T15:41:00,INS-1005,74.2,discoloration,2.0,2,False,"Minor discoloration detected, batch passes.",Factory-A2,2.0,2024-06
D4041-20240610,2024-06-10,PRD-02,night,OP-2517,INSP-20030,2024-06-11T02:06:00,INS-1006,51.4,contamination,4.0,9,True,Batch failed due to contamination. Full rework required.,Factory-X0,9.0,2024-06
E5093-20240610,2024-06-10,PRD-03,morning,OP-4178,INSP-20031,2024-06-10T10:56:00,INS-1007,99.6,,,0,False,Batch meets highest quality standards.,Factory-G9,0.0,2024-06
F6017-20240611,2024-06-11,PRD-04,afternoon,OP-0033,INSP-20032,2024-06-11T14:22:00,INS-1002,82.1,scratch,1.0,1,False,"Minor scratch detected, batch passes.",Factory-A2,1.0,2024-06
G7098-20240611,2024-06-11,PRD-01,night,OP-5691,INSP-20033,2024-06-12T01:21:00,INS-1003,44.9,cracking,4.0,11,True,Significant cracking detected. Batch failed.,Factory-Z3,11.0,2024-06
H8092-20240611,2024-06-11,PRD-02,morning,OP-0001,INSP-20034,2024-06-11T10:13:00,INS-1004,97.4,,,0,False,Batch passed inspection. No defects found.,Factory-E1,0.0,2024-06
I9027-20240612,2024-06-12,PRD-03,afternoon,OP-7777,INSP-20035,2024-06-12T15:34:00,INS-1005,75.8,foreign_object,2.0,2,False,"Foreign object detected, batch passes.",Factory-A2,2.0,2024-06
J1003-20240612,2024-06-12,PRD-04,night,OP-2517,INSP-20036,2024-06-13T02:18:00,INS-1006,59.5,mislabel,3.0,7,True,Mislabeling detected. Batch failed and full rework needed.,Factory-G9,7.0,2024-06
K2019-20240612,2024-06-12,PRD-01,morning,OP-4178,INSP-20037,2024-06-12T09:28:00,INS-1007,100.0,,,0,False,Batch is flawless. No issues found.,Factory-E1,0.0,2024-06
L3098-20240613,2024-06-13,PRD-02,afternoon,OP-0033,INSP-20038,2024-06-13T16:53:00,INS-1002,81.6,scratch,1.0,1,False,"Minor scratch detected, batch passes.",Factory-A2,1.0,2024-06
M4027-20240613,2024-06-13,PRD-03,night,OP-5691,INSP-20039,2024-06-14T02:28:00,INS-1003,68.2,misalignment,3.0,6,True,Misalignment detected. Batch failed and requires rework.,Factory-Z3,6.0,2024-06
N5038-20240613,2024-06-13,PRD-04,morning,OP-2517,INSP-20040,2024-06-13T11:10:00,INS-1004,95.9,,,0,False,No defects found. Batch passes inspection.,Factory-Y7,0.0,2024-06
O6017-20240614,2024-06-14,PRD-01,afternoon,OP-0033,INSP-20041,2024-06-14T15:46:00,INS-1005,73.6,discoloration,2.0,2,False,"Minor discoloration detected, batch passes.",Factory-A2,2.0,2024-06
P7015-20240614,2024-06-14,PRD-02,night,OP-2517,INSP-20042,2024-06-15T01:33:00,INS-1006,49.2,contamination,4.0,8,True,Batch failed due to contamination. Full rework required.,Factory-X0,8.0,2024-06
Q8082-20240614,2024-06-14,PRD-03,morning,OP-4178,INSP-20043,2024-06-14T11:52:00,INS-1007,98.9,,,0,False,Batch flawless. No issues found.,Factory-G9,0.0,2024-06
R9039-20240615,2024-06-15,PRD-04,afternoon,OP-0033,INSP-20044,2024-06-15T14:21:00,INS-1002,80.6,scratch,1.0,1,False,"Minor scratch detected, batch passes.",Factory-A2,1.0,2024-06
S1058-20240615,2024-06-15,PRD-01,night,OP-5691,INSP-20045,2024-06-16T00:19:00,INS-1003,10.3,major_crack,4.0,18,True,Critical major crack detected. Batch discarded.,Factory-Z3,18.0,2024-06
T2064-20240615,2024-06-15,PRD-02,morning,OP-0001,INSP-20046,2024-06-15T09:58:00,INS-1004,96.6,,,0,False,Batch meets all specifications. No defects.,Factory-E1,0.0,2024-06
U3078-20240616,2024-06-16,PRD-03,afternoon,OP-7777,INSP-20047,2024-06-16T16:02:00,INS-1005,77.7,foreign_object,2.0,2,False,Foreign object found. Batch passes inspection.,Factory-A2,2.0,2024-06
V4089-20240616,2024-06-16,PRD-04,night,OP-2517,INSP-20048,2024-06-17T02:18:00,INS-1006,52.7,mislabel,3.0,7,True,"Mislabel detected, batch failed and rework needed.",Factory-G9,7.0,2024-06
W5097-20240616,2024-06-16,PRD-01,morning,OP-4178,INSP-20049,2024-06-16T08:26:00,INS-1007,100.0,,,0,False,Batch flawless. No issues detected.,Factory-E1,0.0,2024-06
X6013-20240617,2024-06-17,PRD-02,afternoon,OP-0033,INSP-20050,2024-06-17T16:41:00,INS-1002,79.8,scratch,1.0,1,False,Minor scratch detected. Batch passes.,Factory-A2,1.0,2024-06
E1023-20240607,2024-06-07,PRD-01,morning,OP-5691,INSP-20001,2024-06-07T08:43:11,INS-7741,99.98,,,0,False,No issues detected in batch. Meets all quality benchmarks.,Factory-E1,0.0,2024-06
A2098-20240606,2024-06-06,PRD-02,afternoon,OP-2186,INSP-20002,2024-06-06T15:02:46,INS-1223,100.0,,,0,False,Batch quality is perfect. No defects found.,Factory-A2,0.0,2024-06
Z4042-20240607,2024-06-07,PRD-03,night,OP-0033,INSP-20003,2024-06-08T00:37:05,INS-9876,98.5,,,0,False,"Exceeded benchmarks, no visible defects.",Factory-Z3,0.0,2024-06
Y7129-20240605,2024-06-05,PRD-04,afternoon,OP-7777,INSP-20004,2024-06-05T15:22:21,INS-7741,99.82,,,0,False,Batch passed all inspection criteria.,Factory-Y7,0.0,2024-06
X0001-20240606,2024-06-06,PRD-01,morning,OP-0112,INSP-20005,2024-06-06T10:54:16,INS-8921,98.75,,,0,False,Batch quality is exceptional.,Factory-X0,0.0,2024-06
G9234-20240606,2024-06-06,PRD-02,night,OP-2517,INSP-20006,2024-06-07T01:13:38,INS-2048,99.5,,,0,False,No defects detected. Excellent output.,Factory-G9,0.0,2024-06
E1785-20240607,2024-06-07,PRD-03,morning,OP-1674,INSP-20007,2024-06-07T09:22:41,INS-5467,100.0,,,0,False,Perfect batch. No issues detected.,Factory-E1,0.0,2024-06
A2921-20240605,2024-06-05,PRD-04,afternoon,OP-0033,INSP-20008,2024-06-05T16:13:19,INS-1223,97.4,,,0,False,Exceeded benchmarks; batch ready for shipment.,Factory-A2,0.0,2024-06
Z4578-20240604,2024-06-04,PRD-01,night,OP-2517,INSP-20009,2024-06-05T00:21:56,INS-7741,100.0,,,0,False,"Batch inspected, results are flawless.",Factory-Z3,0.0,2024-06
Y7453-20240607,2024-06-07,PRD-02,morning,OP-5691,INSP-20010,2024-06-07T08:58:13,INS-2048,99.23,,,0,False,"No issues detected, batch is approved.",Factory-Y7,0.0,2024-06
X0217-20240605,2024-06-05,PRD-03,afternoon,OP-2186,INSP-20011,2024-06-05T15:54:12,INS-5467,84.7,scratch,1.0,1,False,"Minor scratch noted, within tolerance.",Factory-X0,1.0,2024-06
G9465-20240604,2024-06-04,PRD-04,morning,OP-5691,INSP-20012,2024-06-04T10:15:04,INS-7741,81.2,dent,1.0,2,False,"Small dent detected, still within acceptable range.",Factory-G9,2.0,2024-06
E1122-20240606,2024-06-06,PRD-01,afternoon,OP-4178,INSP-20013,2024-06-06T15:11:17,INS-8921,76.8,marking,2.0,2,False,Spot marking observed; batch passes.,Factory-E1,2.0,2024-06
A2045-20240604,2024-06-04,PRD-02,morning,OP-0112,INSP-20014,2024-06-04T11:09:43,INS-2048,82.1,discoloration,1.0,1,False,"Minor discoloration noted, batch approved.",Factory-A2,1.0,2024-06
Z4781-20240606,2024-06-06,PRD-03,afternoon,OP-2186,INSP-20015,2024-06-06T16:34:20,INS-7741,78.5,foreign_object,2.0,2,False,"Foreign object found, but batch passes.",Factory-Z3,2.0,2024-06
Y7714-20240607,2024-06-07,PRD-04,morning,OP-0033,INSP-20016,2024-06-07T09:43:29,INS-9876,80.3,marking,2.0,1,False,"Marking on surface, within tolerance.",Factory-Y7,1.0,2024-06
X0374-20240604,2024-06-04,PRD-01,afternoon,OP-5691,INSP-20017,2024-06-04T15:37:49,INS-1223,79.6,scratch,1.0,1,False,"Surface scratch noted, batch passes.",Factory-X0,1.0,2024-06
G9761-20240605,2024-06-05,PRD-02,afternoon,OP-7777,INSP-20018,2024-06-05T14:21:37,INS-7741,75.1,discoloration,2.0,2,False,"Discoloration observed, batch accepted.",Factory-G9,2.0,2024-06
E1302-20240607,2024-06-07,PRD-03,morning,OP-2517,INSP-20019,2024-06-07T11:12:05,INS-5467,61.4,misalignment,3.0,4,True,Batch failed due to misalignment. Full rework required.,Factory-E1,4.0,2024-06
A2441-20240606,2024-06-06,PRD-04,night,OP-2186,INSP-20020,2024-06-07T02:48:18,INS-2048,67.2,contamination,3.0,5,True,"Contamination detected, batch failed. Requires rework.",Factory-A2,5.0,2024-06
Z4982-20240605,2024-06-05,PRD-01,afternoon,OP-0112,INSP-20021,2024-06-05T14:23:59,INS-5467,55.9,mislabel,4.0,7,True,Mislabeling found. Full rework necessary.,Factory-Z3,7.0,2024-06
Y7841-20240604,2024-06-04,PRD-03,night,OP-0033,INSP-20022,2024-06-05T02:22:46,INS-7741,69.3,cracking,3.0,5,True,"Cracking detected, rework required.",Factory-Y7,5.0,2024-06
X0465-20240607,2024-06-07,PRD-04,night,OP-2517,INSP-20023,2024-06-08T01:16:44,INS-2048,62.5,contamination,3.0,6,True,"Contamination observed, batch failed. Rework needed.",Factory-X0,6.0,2024-06
G9562-20240606,2024-06-06,PRD-01,afternoon,OP-2186,INSP-20024,2024-06-06T15:18:30,INS-8921,41.8,misalignment,4.0,9,True,Batch failed due to severe misalignment. Immediate rework required.,Factory-G9,9.0,2024-06
E1435-20240605,2024-06-05,PRD-02,night,OP-1674,INSP-20025,2024-06-06T01:36:59,INS-7741,47.3,cracking,4.0,8,True,"Cracking detected, batch failed. Rework required.",Factory-E1,8.0,2024-06
A2619-20240607,2024-06-07,PRD-03,afternoon,OP-5691,INSP-20026,2024-06-07T16:58:22,INS-5467,43.2,mislabel,3.0,10,True,Mislabeling issue. Batch requires full rework.,Factory-A2,10.0,2024-06
Z5129-20240606,2024-06-06,PRD-04,night,OP-0112,INSP-20027,2024-06-07T01:23:41,INS-8921,2.7,major_crack,4.0,20,True,Complete failure. Batch must be discarded.,Factory-Z3,20.0,2024-06
Y7962-20240604,2024-06-04,PRD-01,night,OP-7777,INSP-20028,2024-06-05T00:06:12,INS-1223,0.0,major_crack,4.0,19,True,Batch must be discarded due to catastrophic failure.,Factory-Y7,19.0,2024-06
X0598-20240607,2024-06-07,PRD-02,morning,OP-1674,INSP-20029,2024-06-07T10:40:17,INS-7741,3.1,cracking,4.0,18,True,Complete failure. Cracking is extensive.,Factory-X0,18.0,2024-06
G9637-20240606,2024-06-06,PRD-03,afternoon,OP-0033,INSP-20030,2024-06-06T14:44:56,INS-5467,4.9,major_crack,4.0,16,True,Batch failed due to major crack. Discard recommended.,Factory-G9,16.0,2024-06
E1583-20240605,2024-06-05,PRD-04,morning,OP-5691,INSP-20031,2024-06-05T09:32:28,INS-7741,7.2,major_crack,4.0,17,True,Major crack detected. Batch is a total loss.,Factory-E1,17.0,2024-06
A2784-20240607,2024-06-07,PRD-01,night,OP-2517,INSP-20032,2024-06-08T00:29:44,INS-5467,8.6,cracking,4.0,15,True,Severe cracking found. Batch failed.,Factory-A2,15.0,2024-06
Z5263-20240606,2024-06-06,PRD-02,morning,OP-0033,INSP-20033,2024-06-06T11:45:53,INS-1223,92.4,,,0,False,"Batch inspected, results are excellent.",Factory-Z3,0.0,2024-06
Y8019-20240604,2024-06-04,PRD-03,morning,OP-0112,INSP-20034,2024-06-04T08:21:19,INS-9876,88.7,,,0,False,Batch meets all quality standards.,Factory-Y7,0.0,2024-06
X0772-20240607,2024-06-07,PRD-04,afternoon,OP-1674,INSP-20035,2024-06-07T15:09:36,INS-8921,93.1,,,0,False,"Batch inspected, perfect results.",Factory-X0,0.0,2024-06
